district,id,district_id,incident_type,incident,organization,time,leadername,organization_type,intotal,demand,organization_type_id,organization_id,leadername1,demand_id,demand_clean
Ujjain,53015,42,ज्ञापन,उज्जैन जिले की घटिया तहसील में सिंहस्थ क्षेत्र के उपयोग के लिए घटिया तहसील के गांवों की जमीन अधिग्रहण की गई है जिसका मुआवजा दिये जाने एवं सोयाबीन की फसल का मुआवजा अभी तक नहीं दिए जाने आदि को लेकर दिनांक 2.2.2016 को के भारतीय किसान संघ अध्यक्ष आनंदीलाल पाटीदार के नेतृत्व में लगभग 60-70 की उपस्थिति में दोपहर 13.45 बजे कस्बा घटिया में तहसील मुख्यालय पर जाकर माननीय मुख्यमंत्री महोदय के नाम का एक ज्ञापन तहसीलदार घटिया राजाराम करजरे को दिया गया।,भाकिस,2016-02-02T16:25:43.000,भारतीय किसान संघ अध्यक्ष आनंदीलाल पाटीदार,['कृषक संगठन'],60,जमीनअधिग्रहण,3,2,41,12,जमीनअधिग्रहण
Khandwa,53030,24,अन्य,"दिनांक 02.02.16 को भारतीय किसान संघ के जिलाध्यक्ष धरमचंद पटेल के नेतृत्व में प्रमुख रूप से प्रांतीय अध्यक्ष रेवाराम सनावद वाले, सुभाष पटेल सहित 30-35 किसान संघ द्वारा अपनी समस्याओं जैसे – सरकार सिंचाई परियोजनाओं पर ध्यान दे , किसानों को लाभकारी मूल्य दिया जाकर गेहू पर दिये जाने वाला 150 रूपये  बोनस पुन: दिया जाये, उदहवन सिंचाई योजना का लाभ समस्त किसानों को दिया जाये, मुआवजा वितरण में विसंगति को दूर किया जाये आदि को लेकर जलेबी चौक स्थिसत पुरानी अनाज मंडी में दोपहर 13:00 बजे से 15:00 बजे तक एक बैठक आयोजित की गई ।उक्त बैठक में 18 फरवरी को जयपुर राज्यथान में होने वाले धरना प्रदर्शन में जाने की संबंध में एवं 4 मार्च 2016 को किसान संघ की स्थापना दिवस मनाने के संबंध में चर्चा की गई। बाद 15:20 बजे किसानों का एक प्रतिनिधी मंडल जिला खण्डवा के थाना मूंदी क्षेत्रान्तर्गत इंदिरा सागर बांध परियोजना के बेक वाटर पर स्थिमत मध्यप्रदेश पर्यटन विभाग द्वारा निर्मित हनुमंतिया टापू के लिये रवाना हुये। जहॉ मध्यप्रदेश के मुख्यमंत्री माननीय श्री शिवराजसिंह चौहान से समय मांगेगें यदि मुख्यमंत्री महोदय द्वारा मिलने का समय दिया जाता है तो भारतीय किसान संघ के जिलाध्यक्ष धरमचंद पटेल के नेतृत्व में उक्त समस्याओं को लेकर  एक ज्ञापन दिये जाने की योजना है।",अन्‍य,2016-02-02T16:38:29.000,भारतीय किसान संघ के जिलाध्यक्ष धरमचंद पटेल,['कृषक संगठन'],30,मूल्य न मिलना(Minimum Support Price(MSP)),3,40,42,8,मूल्य न मिलना(Minimum Support Price(MSP))
Khandwa,53030,24,अन्य,"दिनांक 02.02.16 को भारतीय किसान संघ के जिलाध्यक्ष धरमचंद पटेल के नेतृत्व में प्रमुख रूप से प्रांतीय अध्यक्ष रेवाराम सनावद वाले, सुभाष पटेल सहित 30-35 किसान संघ द्वारा अपनी समस्याओं जैसे – सरकार सिंचाई परियोजनाओं पर ध्यान दे , किसानों को लाभकारी मूल्य दिया जाकर गेहू पर दिये जाने वाला 150 रूपये  बोनस पुन: दिया जाये, उदहवन सिंचाई योजना का लाभ समस्त किसानों को दिया जाये, मुआवजा वितरण में विसंगति को दूर किया जाये आदि को लेकर जलेबी चौक स्थिसत पुरानी अनाज मंडी में दोपहर 13:00 बजे से 15:00 बजे तक एक बैठक आयोजित की गई ।उक्त बैठक में 18 फरवरी को जयपुर राज्यथान में होने वाले धरना प्रदर्शन में जाने की संबंध में एवं 4 मार्च 2016 को किसान संघ की स्थापना दिवस मनाने के संबंध में चर्चा की गई। बाद 15:20 बजे किसानों का एक प्रतिनिधी मंडल जिला खण्डवा के थाना मूंदी क्षेत्रान्तर्गत इंदिरा सागर बांध परियोजना के बेक वाटर पर स्थिमत मध्यप्रदेश पर्यटन विभाग द्वारा निर्मित हनुमंतिया टापू के लिये रवाना हुये। जहॉ मध्यप्रदेश के मुख्यमंत्री माननीय श्री शिवराजसिंह चौहान से समय मांगेगें यदि मुख्यमंत्री महोदय द्वारा मिलने का समय दिया जाता है तो भारतीय किसान संघ के जिलाध्यक्ष धरमचंद पटेल के नेतृत्व में उक्त समस्याओं को लेकर  एक ज्ञापन दिये जाने की योजना है।",अन्‍य,2016-02-02T16:38:29.000,भारतीय किसान संघ के जिलाध्यक्ष धरमचंद पटेल,['कृषक संगठन'],30,नहरों का पानी/सिचाई समस्या,3,40,42,7,नहरों का पानी/सिचाई समस्या
Khandwa,53030,24,बैठक,"दिनांक 02.02.16 को भारतीय किसान संघ के जिलाध्यक्ष धरमचंद पटेल के नेतृत्व में प्रमुख रूप से प्रांतीय अध्यक्ष रेवाराम सनावद वाले, सुभाष पटेल सहित 30-35 किसान संघ द्वारा अपनी समस्याओं जैसे – सरकार सिंचाई परियोजनाओं पर ध्यान दे , किसानों को लाभकारी मूल्य दिया जाकर गेहू पर दिये जाने वाला 150 रूपये  बोनस पुन: दिया जाये, उदहवन सिंचाई योजना का लाभ समस्त किसानों को दिया जाये, मुआवजा वितरण में विसंगति को दूर किया जाये आदि को लेकर जलेबी चौक स्थिसत पुरानी अनाज मंडी में दोपहर 13:00 बजे से 15:00 बजे तक एक बैठक आयोजित की गई ।उक्त बैठक में 18 फरवरी को जयपुर राज्यथान में होने वाले धरना प्रदर्शन में जाने की संबंध में एवं 4 मार्च 2016 को किसान संघ की स्थापना दिवस मनाने के संबंध में चर्चा की गई। बाद 15:20 बजे किसानों का एक प्रतिनिधी मंडल जिला खण्डवा के थाना मूंदी क्षेत्रान्तर्गत इंदिरा सागर बांध परियोजना के बेक वाटर पर स्थिमत मध्यप्रदेश पर्यटन विभाग द्वारा निर्मित हनुमंतिया टापू के लिये रवाना हुये। जहॉ मध्यप्रदेश के मुख्यमंत्री माननीय श्री शिवराजसिंह चौहान से समय मांगेगें यदि मुख्यमंत्री महोदय द्वारा मिलने का समय दिया जाता है तो भारतीय किसान संघ के जिलाध्यक्ष धरमचंद पटेल के नेतृत्व में उक्त समस्याओं को लेकर  एक ज्ञापन दिये जाने की योजना है।",अन्‍य,2016-02-02T16:38:29.000,भारतीय किसान संघ के जिलाध्यक्ष धरमचंद पटेल,['कृषक संगठन'],30,मूल्य न मिलना(Minimum Support Price(MSP)),3,40,42,8,मूल्य न मिलना(Minimum Support Price(MSP))
Khandwa,53030,24,बैठक,"दिनांक 02.02.16 को भारतीय किसान संघ के जिलाध्यक्ष धरमचंद पटेल के नेतृत्व में प्रमुख रूप से प्रांतीय अध्यक्ष रेवाराम सनावद वाले, सुभाष पटेल सहित 30-35 किसान संघ द्वारा अपनी समस्याओं जैसे – सरकार सिंचाई परियोजनाओं पर ध्यान दे , किसानों को लाभकारी मूल्य दिया जाकर गेहू पर दिये जाने वाला 150 रूपये  बोनस पुन: दिया जाये, उदहवन सिंचाई योजना का लाभ समस्त किसानों को दिया जाये, मुआवजा वितरण में विसंगति को दूर किया जाये आदि को लेकर जलेबी चौक स्थिसत पुरानी अनाज मंडी में दोपहर 13:00 बजे से 15:00 बजे तक एक बैठक आयोजित की गई ।उक्त बैठक में 18 फरवरी को जयपुर राज्यथान में होने वाले धरना प्रदर्शन में जाने की संबंध में एवं 4 मार्च 2016 को किसान संघ की स्थापना दिवस मनाने के संबंध में चर्चा की गई। बाद 15:20 बजे किसानों का एक प्रतिनिधी मंडल जिला खण्डवा के थाना मूंदी क्षेत्रान्तर्गत इंदिरा सागर बांध परियोजना के बेक वाटर पर स्थिमत मध्यप्रदेश पर्यटन विभाग द्वारा निर्मित हनुमंतिया टापू के लिये रवाना हुये। जहॉ मध्यप्रदेश के मुख्यमंत्री माननीय श्री शिवराजसिंह चौहान से समय मांगेगें यदि मुख्यमंत्री महोदय द्वारा मिलने का समय दिया जाता है तो भारतीय किसान संघ के जिलाध्यक्ष धरमचंद पटेल के नेतृत्व में उक्त समस्याओं को लेकर  एक ज्ञापन दिये जाने की योजना है।",अन्‍य,2016-02-02T16:38:29.000,भारतीय किसान संघ के जिलाध्यक्ष धरमचंद पटेल,['कृषक संगठन'],30,नहरों का पानी/सिचाई समस्या,3,40,42,7,नहरों का पानी/सिचाई समस्या
Gwalior,53127,16,ज्ञापन,"दिनांक 2.2.16 को भारतीय किसान संघ चीनोर ग्वालियर द्वारा चीनोर तहसील अध्यक्ष अमृतलाल किरार के नेतृत्वा में लगभग 90-100 की उपस्थिति में राजस्व  विभाग को शासन से अलग किया जाये, लागत के आधार पर लाभकारी मूल्य0 दिया जाये, फसल बीमा नीति किसान हितैषी बनाये जाये, म0प्र0 में पशुपालन नीति लागू की जाने आदि क्षेत्रीय समस्याजओं को लेकर करीब 16.10 बजे चीनोर तहसील पर माननीय मुख्य मंत्री महोदय के नाम संबोधित ज्ञापन राजस्व निरीक्षक को दिया गया । दिनांक 3-2-16 को तहसील घाटीगॉव  दिनांक 8-2-16 को भितरवार पर प्रदर्शन कर तहसीलदार को  ज्ञापन दिये जाएगे ।",भारतीय किसान संघ (आरएसएस),2016-02-02T19:13:04.000,चीनोर तहसील अध्यक्ष अमृतलाल किरार,['कृषक संगठन'],90,मूल्य न मिलना(Minimum Support Price(MSP)),3,25,33,8,मूल्य न मिलना(Minimum Support Price(MSP))
Gwalior,53127,16,ज्ञापन,"दिनांक 2.2.16 को भारतीय किसान संघ चीनोर ग्वालियर द्वारा चीनोर तहसील अध्यक्ष अमृतलाल किरार के नेतृत्वा में लगभग 90-100 की उपस्थिति में राजस्व  विभाग को शासन से अलग किया जाये, लागत के आधार पर लाभकारी मूल्य0 दिया जाये, फसल बीमा नीति किसान हितैषी बनाये जाये, म0प्र0 में पशुपालन नीति लागू की जाने आदि क्षेत्रीय समस्याजओं को लेकर करीब 16.10 बजे चीनोर तहसील पर माननीय मुख्य मंत्री महोदय के नाम संबोधित ज्ञापन राजस्व निरीक्षक को दिया गया । दिनांक 3-2-16 को तहसील घाटीगॉव  दिनांक 8-2-16 को भितरवार पर प्रदर्शन कर तहसीलदार को  ज्ञापन दिये जाएगे ।",भारतीय किसान संघ (आरएसएस),2016-02-02T19:13:04.000,चीनोर तहसील अध्यक्ष अमृतलाल किरार,['कृषक संगठन'],90,फसल बीमा,3,25,33,1,फसल बीमा
Khargone,53245,25,ज्ञापन,"दिनांक 09.01.16 से 11.01.16 तक तीन दिवसीय भारतीय किसान संघ के प्रांतिय अधिवेशन इंदौर के दौरान 4 प्रस्ताव पारित किये गये थे जो क्रमश: 1. लागत के आधार पर 50 प्रतिशत लाभांश जोड कर किसानों का फसल उत्पादन का मूल्य  दिया जाये । 2. फसल बीमा नीति में सुधार बीमा खेत ईकाई मानकर किया जाये । 3. गांव-गांव एवं क्षेत्र में जल का संकट समाप्तम हो 4. गौसंवर्धन एवं संरक्षण पर जोर दिया जाये के प्रस्ताव पारित किये गये थे इन प्रस्ता वों को दिनांक 15.01.16 से 30.01.16 तक गांव-गांव जाकर किसान जन जागरण अभियान के तहत इन प्रस्ता्वों के संबंध में बताया गया एवं लागत मूल्‍य का फार्म भरवा कर लागत मूल्या निकलवाया गया एवं स्थानीय समस्या ओं को एकत्रित किया गया । इन्हीं  4 प्रस्तावों एवं ग्राम की स्थानीय समस्याओं को लेकर आज दिनांक 03.02.15 को 13:00 बजे जिला खरगोन के कस्बा बडवाह में भारतीय किसान संघ के ब्लाक अध्यक्ष केवलराव चौधरी के नेतृत्व में ग्राम बलवाडा, करियाकुंड, कुरावद के 10-12 किसानों द्वारा माननीय प्रधानमंत्री महोदय एवं माननीय मुख्यमंत्री महोदय को संबोधित एक ज्ञापन एस.डी.एम. बडवाह को सौंपा गया ।",भारतीय किसान संघ (आरएसएस),2016-02-03T15:47:52.000,ब्लाक अध्यक्ष केवलराव चौधरी,['कृषक संगठन'],10,फसल बीमा,3,25,27,1,फसल बीमा
Shajapur,53287,43,ज्ञापन,"दिनांक 03.02.16 को भारतीय किसान संघ द्वारा तहसील अध्यक्ष राकेश पाटीदार के नेतृत्व में जिला मुख्यालय शाजापुर स्थित राजराजेष्वरी माता मंदिर परिसर पर 12.30 बजे से 14.30 बजे तक भू-राजस्व विसंगतियां दूर किए जाने व नियमों को कडा़ई से पालन कराने के लिये, फसल बीमा नीति में परिवर्तन कर नई फसल बीमा नीति बनाई जाने को को लेकर एक बैठक आयोजित की गई  बाद उक्त सम्बध में 14.30 बजे प्रधानमंत्री एवं मुख्यमंत्री म0प्र0 के नाम संबोधित एक ज्ञापन शाजापुर तहसीलदार राकेष पाटीदार को सोंपा गया इस दौरान भारतीय किसान संघ के प्रदेश सदस्य प्रेम आर्य, जिला प्रभारी नारायण यादव सहित उपस्थिती लगभग 90-100 की रही ।",भाकिस,2016-02-03T16:24:59.000,भारतीय किसान संघ द्वारा तहसील अध्यक्ष राकेश पाटीदार,['कृषक संगठन'],100,फसल बीमा,3,2,51,1,फसल बीमा
Khandwa,53315,24,भूख हड़ताल,"दिनांक 02.02.16 से थाना मूंदी क्षेत्रान्तर्गत वन ग्राम आवलिया के किसानों द्वारा केनूद उदवहन सिंचाई से अजनान नदी में पानी छोड़ने की मांग को लेकर ग्राम के दो किसान अनोखीलाल पिता गोकुल, रूकडु पिता ठाकुर भूख हड़ताल पर है एवं उनके समर्थन में 08-10 किसान धरने पर बैठे है।",अन्‍य,2016-02-03T16:47:55.000,अन्‍य,['कृषक संगठन'],10,नहरों का पानी/सिचाई समस्या,3,40,5,7,नहरों का पानी/सिचाई समस्या
Khandwa,53315,24,धरना,"दिनांक 02.02.16 से थाना मूंदी क्षेत्रान्तर्गत वन ग्राम आवलिया के किसानों द्वारा केनूद उदवहन सिंचाई से अजनान नदी में पानी छोड़ने की मांग को लेकर ग्राम के दो किसान अनोखीलाल पिता गोकुल, रूकडु पिता ठाकुर भूख हड़ताल पर है एवं उनके समर्थन में 08-10 किसान धरने पर बैठे है।",अन्‍य,2016-02-03T16:47:55.000,अन्‍य,['कृषक संगठन'],10,नहरों का पानी/सिचाई समस्या,3,40,5,7,नहरों का पानी/सिचाई समस्या
Mandla,53317,35,अन्य,"नैनपुर ब्लॉक में रबी की फसल में सिंचाई हेतु पानी न मिलने से नाराज कृषकों द्वारा कृषक उदय सिह ठाकुर के नेतृत्व में अपनी मांग थांवर बांध से सिंचाई हेतु पानी दिये जाने, नहर निर्माण आदि को लेकर आज दिनांक 03-02-16 को थांवर परियोजना कार्यालय नैनपुर के समक्ष धरना प्रदर्शन किया जाना प्रस्तावित था जो थांवर परियोजना एसडीओ के आश्वांसन पर स्थगित कर दिया गया ।",किसान,2016-02-03T16:50:16.000,कृषक उदय सिह ठाकुर,['कृषक संगठन'],0,नहरों का पानी/सिचाई समस्या,3,13,18,7,नहरों का पानी/सिचाई समस्या
