district,id,district_id,incident_type,incident,organization_type_id,organization_type,time,leadername,organization,organization_id,intotal,demand,leadername1,demand_id,demand_clean
Seoni,967596,34,आमरण अनशन,"दिनांक 07/02/2025 को जिला सिवनी के थाना उगली अंतर्गत भारतीय किसान संघ जिला इकाई सिवनी के द्वारा केवलारी तहसील के उगली, सरेखा कला, पांडिया छपारा क्षेत्र में अवैध बिजली कटौती, लो वोल्टेज जैसी 06 सूत्रीय मांगो को लेकर किसानों द्वारा आनंद भगत जनपद सदस्‍य केवलारी के नेतृत्व में ग्राम पांडिया छपारा में दोपहर 12:00 बजे से आमरण अनशन प्रारंभ किया गया है, जो जारी है। उक्‍त कार्यक्रम में लगभग 250-300 की उपस्थिति रही । दिनांक 08/02/2025 को क्षेत्र के उगली, पांडिया छपारा, सरेखा के बाजार बंद रखकर समस्त कृषक, मजदूर, व्यापारी, महिला, युवा एवं क्षेत्रवासियों के द्वारा चक्का जाम किया जावेगा।",3,कृषक संगठन,2025-02-07T17:39:37.000,आनंद भगत,भाकिस,2,300,बिजली की समस्या,8,4,बिजली की समस्या
Khandwa,968893,24,ज्ञापन,"दिनांक 13.2.25 को संयुक्‍त कृषक संगठन के जिला अध्‍यक्ष नरेन्‍द्र पटेल के नेतृत्‍व में 30-35 पदाधिकारी /कार्यकर्ताओ की उपस्थिति में शहर खण्‍डवा के जलेबी चौक स्थित पुरानी अनाज मंडी परिसर में दोपहर 13.10 बजे से 14.50 बजे तक बैठक आयोजित की गई। उक्‍त बैठक में किसानो की समस्‍या जैसे वर्ष 2022-23, 2023-24 की फसल बीमा राशि, गेहॅू एवं चने के समर्थन मुल्‍य पर 500 रूपये प्रति क्विंटल बोनस राशी दिये जाने, सदस्‍यता अभियान, समर्थन मुल्‍य पर गेहॅू प्रति एकड 20 क्विंटल, चना 12 क्विंटल प्रति एकड की दर से खरिदा जावे, समर्थन मुल्‍य पर खरीदी 01 मार्च से प्रारंभ की जावे, समर्थन मुल्‍य पर विक्रय की उपज का भुगतान 08 दिवस के अंदर किया जाना सुनिश्चित किया जावे, सहकरी समितियो से लिये गये ऋण 31 मार्च से बढाकर 30 अप्रैल किया जाना, खालवा उदवहन सिंचाई परियोजना का कार्य ग्रीष्म काल में पुर्ण किया जावे, सहकारी समितियो कृषक विपणन सहकारी समितियो एवं कृषि उपज मंडियो में चुनाव शीघ्र किया जावे ताकि चुने हुए कृषक प्रतिनिधियो के निर्देशन में संस्‍थाए सुचारू रूप से चल सके आदि के संबंध में चर्चा की गई। बैठक पश्‍चात संयुक्‍त कृषक संगठन के जिला उपाध्‍यक्ष सचिन मिश्रा के द्वारा 15.15 बजे कलेक्‍टर कार्यालय खण्‍डवा पहुचकर अपनी मांगो के संबंध में माननीय मुख्‍यमंत्री महोदय को संबोधित एक ज्ञापन आवक-जावक शाखा में दिया गया।",3,कृषक संगठन,2025-02-13T15:36:41.000,नरेन्‍द्र पटेल,अन्‍य,40,35,फसल बीमा,14,1,फसल बीमा
Khandwa,968893,24,ज्ञापन,"दिनांक 13.2.25 को संयुक्‍त कृषक संगठन के जिला अध्‍यक्ष नरेन्‍द्र पटेल के नेतृत्‍व में 30-35 पदाधिकारी /कार्यकर्ताओ की उपस्थिति में शहर खण्‍डवा के जलेबी चौक स्थित पुरानी अनाज मंडी परिसर में दोपहर 13.10 बजे से 14.50 बजे तक बैठक आयोजित की गई। उक्‍त बैठक में किसानो की समस्‍या जैसे वर्ष 2022-23, 2023-24 की फसल बीमा राशि, गेहॅू एवं चने के समर्थन मुल्‍य पर 500 रूपये प्रति क्विंटल बोनस राशी दिये जाने, सदस्‍यता अभियान, समर्थन मुल्‍य पर गेहॅू प्रति एकड 20 क्विंटल, चना 12 क्विंटल प्रति एकड की दर से खरिदा जावे, समर्थन मुल्‍य पर खरीदी 01 मार्च से प्रारंभ की जावे, समर्थन मुल्‍य पर विक्रय की उपज का भुगतान 08 दिवस के अंदर किया जाना सुनिश्चित किया जावे, सहकरी समितियो से लिये गये ऋण 31 मार्च से बढाकर 30 अप्रैल किया जाना, खालवा उदवहन सिंचाई परियोजना का कार्य ग्रीष्म काल में पुर्ण किया जावे, सहकारी समितियो कृषक विपणन सहकारी समितियो एवं कृषि उपज मंडियो में चुनाव शीघ्र किया जावे ताकि चुने हुए कृषक प्रतिनिधियो के निर्देशन में संस्‍थाए सुचारू रूप से चल सके आदि के संबंध में चर्चा की गई। बैठक पश्‍चात संयुक्‍त कृषक संगठन के जिला उपाध्‍यक्ष सचिन मिश्रा के द्वारा 15.15 बजे कलेक्‍टर कार्यालय खण्‍डवा पहुचकर अपनी मांगो के संबंध में माननीय मुख्‍यमंत्री महोदय को संबोधित एक ज्ञापन आवक-जावक शाखा में दिया गया।",3,कृषक संगठन,2025-02-13T15:36:41.000,नरेन्‍द्र पटेल,अन्‍य,40,35,नहरों का पानी/सिचाई समस्या,14,7,नहरों का पानी/सिचाई समस्या
Sagar,970048,39,ज्ञापन,"दिनांक 18.02.25 को राकेश जैन किसान खुरई जिला सागर के नेतृत्व में (15) द्वारा ज्ञापन अपर कलेक्टर सागर को सौंपा गया। जिसमें खुरई तहसील के करीब (66) किसानों का वर्ष 2022-23 में एमएसपी पर विपणन संघ खुरई द्वारा चना खरीदी की गई थी। जिसका 28% भुगतान प्राप्त हुआ है  शेष राशि करीब 72 लाख का भुगतान होना बाकी है, दोषी समिति कर्मचारियों पर शीघ्र कार्यवाही करते हुए शीघ्र भुगतान कराने की मांग की गई।",3,कृषक संगठन,2025-02-18T15:50:29.000,राकेश जैन,किसान,13,15,मूल्य न मिलना(Minimum Support Price(MSP)),9,8,मूल्य न मिलना(Minimum Support Price(MSP))
Burhanpur,970105,8,ज्ञापन,प्रगतिशील किसान संघ - दिनांक 18.02.2025 को दोपहर 13:00 बजे प्रगतिशील किसान संघ संरक्षक शिवकुमार कुशवाहा के नेतृत्व में तरबूज की फसल का मुआवजा दिया जाने केला फसल का बीमा कराए जाने इत्यादि मांगों को लेकर संयुक्त जिला कार्यालय पहुंचकर माननीय मुख्यमंत्री महोदय को संबोधित ज्ञापन कलेक्टर महोदय को दिया गया। उक्त ज्ञापन के दौरान प्रगतिशील किसान संघ के 10-12 कार्यकर्ता/पदाधिकारी की उपस्थिति रही।,3,कृषक संगठन,2025-02-18T16:31:52.000,शिवकुमार कुशवाहा,अन्‍य,40,1012,फसल बीमा,16,1,फसल बीमा
Khandwa,971362,24,ज्ञापन,"दिनांक 23.02.2025 को भारतीय किसान संघ के हरसूद तहसील अध्यक्ष रविंद्र बिश्नोई के नेतृत्व में 3-4 पदाधिकारी /कार्यकर्ताओं की उपस्थिति में 12.15 बजे एसडीएम कार्यालय हरसूद पहुचकर किसानो की प्रमुख समस्‍या - समर्थन मूल्य पर उपार्जन केंद्रों पर गेहूं एवं चने की उपज खरीदी में छोटे इलेक्ट्रॉनिक कांटे पर तुलाई होती है, जिसके कारण उपार्जन केंद्रों पर लंबी-लंबी ट्रैक्टरों की लाइन लगी रहती है एवं दो से तीन दिवस तक तुलाई का इंतजार करना पड़ता है, किसानों की मांग है कि उपार्जन केंद्रों पर बड़े इलेक्ट्रॉनिक कांटे लगाए जाने की मांग को लेकर,, कलेक्टर महोदय के नाम संबोधित एक ज्ञापन लिपिक शिवम शर्मा को सोपा गया।",3,कृषक संगठन,2025-02-23T15:39:37.000,रविंद्र बिश्नोई,भाकिस,2,4,मूल्य न मिलना(Minimum Support Price(MSP)),15,8,मूल्य न मिलना(Minimum Support Price(MSP))
Rewa,971717,36,अन्य,"रीवा जिला के जवा  में दिनांक 26.02.2025 को  भारतीय किसान यूनियन टिकैत गुट के जिलाध्यक्ष सुग्रीव सिंह के नेतृत्व में 100 किसानों द्वारा दोपहर 03बजे से शाम 05 बजे तक किसान महापंचायत आयोजित करने का निर्णय लिया गया है।उक्त किसान महापंचायत में आवारा पशु,सिंचाई हेतु बिजली की कमी, न्यूनतम समर्थन मूल्य एवं अन्य स्थानीय मुद्दों पर चर्चा की जाएगी।",3,कृषक संगठन,2025-02-24T16:52:34.000,सुग्रीव सिंह,भारतीय किसान यूनियन (महेन्द्र सिंह टिकैत गुट),37,100,नहरों का पानी/सिचाई समस्या,12,7,नहरों का पानी/सिचाई समस्या
Rewa,971717,36,अन्य,"रीवा जिला के जवा  में दिनांक 26.02.2025 को  भारतीय किसान यूनियन टिकैत गुट के जिलाध्यक्ष सुग्रीव सिंह के नेतृत्व में 100 किसानों द्वारा दोपहर 03बजे से शाम 05 बजे तक किसान महापंचायत आयोजित करने का निर्णय लिया गया है।उक्त किसान महापंचायत में आवारा पशु,सिंचाई हेतु बिजली की कमी, न्यूनतम समर्थन मूल्य एवं अन्य स्थानीय मुद्दों पर चर्चा की जाएगी।",3,कृषक संगठन,2025-02-24T16:52:34.000,सुग्रीव सिंह,भारतीय किसान यूनियन (महेन्द्र सिंह टिकैत गुट),37,100,मूल्य न मिलना(Minimum Support Price(MSP)),12,8,मूल्य न मिलना(Minimum Support Price(MSP))
Khandwa,971903,24,ज्ञापन,"दिनांक 25.02.2025 को संयुक्त कृषक संगठन के जिला अध्यक्ष नरेंद्र पटेल के नेतृत्व में लगभग 4 -5 पदाधिकारी एवं कार्यकर्ताओं की उपस्थिति में किसानों की प्रमुख समस्याएं जैसे केंद्र सरकार के द्वारा व्यापारियों पर 2500 क्विंटल की स्टॉक लिमिट लगाना एवं 12 लाख टन गेहूं निर्यात कर किसानों  की कमर तोड़ने का कार्य किया जा रहा है, पूर्व की कांग्रेस सरकार के द्वारा किसानों के लिए  ऋण माफी योजना लाई गई थी परंतु वर्तमान सरकार ने सरकार गिरा कर किसानों से वादा किया था कि किसानों का सेवा सहकारी समितियां से डिफाल्टर किसानों का ब्याज सरकार भरेगी परंतु पूर्व सरकार ने कर्ज माफी एवं वर्तमान सरकार ने ब्याज माफी में किसानों को सेवा सहकारी समितियों मैं डिफॉल्टर कर दिया है जिस किसान का कर्ज़ मूलधन था आज वर्तमान में मूलधन के बराबर ब्याज होने,  जिले में फसल कटाई प्रारंभ हो चुकी है अतः 1 मार्च से गेहूं,चना खरीदी समर्थन मूल्य पर की जाए एवं₹500 प्रति क्विंटल अतिरिक्त बोनस दिया जाए, हरसूद मंडी में आए दिन किसानों की उपज तोलने एवं विक्रय में समस्या आ रही है आदि मांगों को लेकर कलेक्टर कार्यालय खंडवा पहुंचकर माननीय मुख्यमंत्री महोदय नाम संबोधित ज्ञापन खंडवा कलेक्टर को दोपहर 12.40 बजे सौंपा गया ।",3,कृषक संगठन,2025-02-25T16:07:55.000,नरेंद्र पटेल,अन्‍य,40,5,मूल्य न मिलना(Minimum Support Price(MSP)),12,8,मूल्य न मिलना(Minimum Support Price(MSP))
Khandwa,971904,24,ज्ञापन,दिनांक 25.02.25 को संयुक्‍त कृषक संगठन के कार्यकर्ता जीवन शर्मा के नेतृत्‍व में 40-50 पदाधिकारियो / कार्यकर्ताओ के द्वारा दोपहर 13.15 बजे किल्‍लोद तहसील कार्यालय पहुचकर मूंग की फसल की सिंचाई हेतु किल्‍लोद क्षेत्रांतर्गत नहरो में पानी छोडने की मांग के संबंध में कलेक्‍टर खण्‍डवा को संबोधित एक ज्ञापन किल्‍लोद तहसीलदार को सौपा गया।,3,कृषक संगठन,2025-02-25T16:09:40.000,जीवन शर्मा,अन्‍य,40,50,नहरों का पानी/सिचाई समस्या,10,7,नहरों का पानी/सिचाई समस्या
Ratlam,972006,45,बैठक,दूध के दाम में वृद्धि (5 रू. प्रति लीटर) करने को लेकर दिनांक 25.02.2025 को 13:30 बजे से 14:30 बजे तक दुग्ध उत्पादक संघ रतलाम जिलाध्यक्ष बाबूलाल चौधरी की अध्यक्षता में करीब 20 की उपस्थिति में थाना स्टेशन रोड रतलाम अंतर्गत कालिका माता मंदिर परिसर रतलाम में एक बैठक आयोजित की गयी। बैठक में सर्वसम्मति से निर्णय लिया गया कि- दुग्ध व्यापारियों द्वारा दिनांक 01.03.2025 से 55 रुपए प्रति लीटर के मान से दूध विक्रय किया जाएगा।\r\n  उल्लेखनीय है कि- यदि दूध के दाम व्यापारी नहीं बढ़ाते हैं तो सभी किसान दिनांक 01.03.2025 से स्वयं शहरों में दूध कम भाव में बेचने आयेंगे।,3,कृषक संगठन,2025-02-25T17:11:33.000,बाबूलाल चौधरी,अन्‍य,40,20,खाद की कमी: यूरिया(Urea) डीएपी(DAP)/काला बाजारी,13,5,खाद की कमी: यूरिया(Urea) डीएपी(DAP)/काला बाजारी
Rewa,972051,36,बैठक,"दिनांक 25.02.25 को पूर्व मुल्ता ई विधायक एवं किसान संघर्ष समिति के राष्ट्री य अध्यपक्ष डा0 सुनीलम का कार द्वारा सिंगरौली से समय 12.00 बजे रीवा आगमन हुआ जहां राज पैलेस रीवा में किसान संघर्ष  समिति की संभागीय बैठक समय 15.00 बजे से समय 17.00 बजे तक ली गयी। जिसमें न्यू्नतम समर्थन मूल्यअ, राष्ट्री य कृषि बाजार नीति, कर्जा मुक्ति व स्था नीय किसान समस्याजओं को लेकर आगामी आंदोलन की रणंनीति पर चर्चा की गयी कार्यक्रम में संयुक्त5 किसान मोर्चा , संभागीय कमेटी के लगभग 20 पदाधिकारी उपस्थित रहे। प्रमुख रूप से किसान संघर्ष समिति के राष्ट्री य प्रवक्ता  शिव सिंह, प्रदेश कार्यकारी अध्यदक्ष इंद्रजीत सिंह शंखू, प्रदेश सचिव शत्रुघन यादव आदि प्रमुख रूप से उपस्थित रहे। डा0 सुनीलम समय 20.00 बजे रेवांचल एक्स‍प्रेस ट्रेन से भोपाल के लिये प्रस्थान करेगें।",3,कृषक संगठन,2025-02-25T18:04:53.000,सुनीलम,किसान संघर्ष समिति,5,20,मूल्य न मिलना(Minimum Support Price(MSP)),6,8,मूल्य न मिलना(Minimum Support Price(MSP))
Rewa,972257,36,बैठक,"रीवा जिला के जवा  में दिनांक 26.02.2025 को  भारतीय किसान यूनियन टिकैत गुट के जिलाध्यक्ष सुग्रीव सिंह के नेतृत्व में 45 किसानों द्वारा दोपहर 15.00 बजे से समय 17.00 बजे तक किसान महापंचायत   आयोजित की गई। उक्त किसान महापंचायत में आवारा पशु,सिंचाई हेतु बिजली की कमी, न्यूनतम समर्थन मूल्य एवं अन्य स्थानीय मुद्दों पर चर्चा की गई।",3,कृषक संगठन,2025-02-26T17:03:26.000,सुग्रीव सिंह,भा0किसान यूनियन,7,45,नहरों का पानी/सिचाई समस्या,12,7,नहरों का पानी/सिचाई समस्या
Rewa,972257,36,बैठक,"रीवा जिला के जवा  में दिनांक 26.02.2025 को  भारतीय किसान यूनियन टिकैत गुट के जिलाध्यक्ष सुग्रीव सिंह के नेतृत्व में 45 किसानों द्वारा दोपहर 15.00 बजे से समय 17.00 बजे तक किसान महापंचायत   आयोजित की गई। उक्त किसान महापंचायत में आवारा पशु,सिंचाई हेतु बिजली की कमी, न्यूनतम समर्थन मूल्य एवं अन्य स्थानीय मुद्दों पर चर्चा की गई।",3,कृषक संगठन,2025-02-26T17:03:26.000,सुग्रीव सिंह,भा0किसान यूनियन,7,45,मूल्य न मिलना(Minimum Support Price(MSP)),12,8,मूल्य न मिलना(Minimum Support Price(MSP))
Khargone,972270,25,अन्य,"भारतीय किसान संघ - दिनांक 27.02.25 को 11:00 कलेक्टर कार्यालय इंदौर में भारतीय किसान संघ के इंदौर जिला अध्यक्ष राजेंद्र पाटीदार के नेतृत्व में, किसानों की सहमति के बिना सरकार द्वारा भूमि अधिग्रहण किए जाने की प्रक्रिया का विरोध करता है l भारतीय किसान संघ विकास विरोधी नहीं है, परन्तु अंधाधुंध विकास जो किसान के संविधानिक हक़ का हनन कर रहा है उसे न्यायोचित भी नहीं मानता है । पूरा मालवा प्रान्त भूमि अधिग्रहण निति के विरोध में । भारतीय किसान संघ द्वारा निम्नलिखित तीन सूत्रीय मांगों -1.सरकार कृषि भूमि की गाइडलाइन में पहले संशोधन करें बाद संशोधित गाइडलाइन का 4 गुना मुआवज़ा दे,2.नीतिगत स्तर पर केंद्रीय भूमि अधिग्रहण कानून 2014 को ज्यो का त्यों सामान रूप से पुरे प्रदेश में लागू  करें, 3.किसानो की सहमति के बिना चल रहे सर्वे को तत्काल रूप से बंद करने आदि  को लेकर माननीय मुख्यमंत्री महोदय को संबोधित ज्ञापन कलेक्टर इंदौर को दिया जाएगा l ज्ञापन में 200-250 की उपस्थिति संभावित है l जिसके अंतर्गत्‍ दिनांक 27.2.25 के प्रात: 8:00 बजे जिला खरगोन से भारतीय किसान संघ के संभागीय अध्‍यक्ष श्‍यामसिंग पंवार के नेतृत्‍व में 04-05 पदाधिकारी इंदौर रवाना होने की येाजना है।",3,कृषक संगठन,2025-02-26T17:15:26.000,श्‍यामसिंग पंवार,भाकिस,2,5,सहायता राशि/मुआवज़ा,16,10,सहायता राशि/मुआवज़ा
Indore,972536,20,धरना,"दिनांक 27.02.25 को 11:00 कलेक्टर कार्यालय इंदौर में भारतीय किसान संघ के इंदौर जिला अध्यक्ष राजेंद्र पाटीदार के नेतृत्व में, किसानों की सहमति के बिना सरकार द्वारा भूमि अधिग्रहण किए जाने की प्रक्रिया का विरोध करता हैl भारतीय किसान संघ विकास विरोधी नहीं है, परन्तु अंधाधुंध विकास जो किसान के संविधानिक हक़ का हनन कर रहा है उसे न्यायोचित भी नहीं मानता है। पूरा मालवा प्रान्त भूमि अधिग्रहण निति के विरोध में भारतीय किसान संघ द्वारा निम्नलिखित तीन सूत्रीय मांगों –\r\n\r\n1. सरकार कृषि भूमि की गाइडलाइन में पहले संशोधन करें बाद संशोधित गाइडलाइन का 4 गुना मुआवज़ा दे।\r\n2. नीतिगत स्तर पर केंद्रीय भूमि अधिग्रहण कानून 2014 को ज्यो का त्यों सामान रूप से पुरे प्रदेश में लागू  करें।\r\n3. किसानो की सहमति के बिना चल रहे सर्वे को तत्काल रूप से बंद करने आदि  को लेकर धरना दिया जा रहा है। उपस्थिति 200-250 की है। व माननीय मुख्यमंत्री महोदय को संबोधित ज्ञापन कलेक्टर इंदौर को दिया जाएगा l",3,कृषक संगठन,2025-02-27T16:50:05.000,राजेन्द्र पाटीदार,भाकिस,2,250,सहायता राशि/मुआवज़ा,17,10,सहायता राशि/मुआवज़ा
Khargone,972563,25,अन्य,"भारतीय किसान संघ - दिनांक 27.02.25 को 11:00 कलेक्टर कार्यालय इंदौर में भारतीय किसान संघ के इंदौर जिला अध्यक्ष राजेंद्र पाटीदार के नेतृत्व में, किसानों की सहमति के बिना सरकार द्वारा भूमि अधिग्रहण किए जाने की प्रक्रिया का विरोध करता है l भारतीय किसान संघ विकास विरोधी नहीं है, परन्तु अंधाधुंध विकास जो किसान के संविधानिक हक़ का हनन कर रहा है उसे न्यायोचित भी नहीं मानता है । पूरा मालवा प्रान्त भूमि अधिग्रहण निति के विरोध में । भारतीय किसान संघ द्वारा निम्नलिखित तीन सूत्रीय मांगों -1.सरकार कृषि भूमि की गाइडलाइन में पहले संशोधन करें बाद संशोधित गाइडलाइन का 4 गुना मुआवज़ा दे,2.नीतिगत स्तर पर केंद्रीय भूमि अधिग्रहण कानून 2014 को ज्यो का त्यों सामान रूप से पुरे प्रदेश में लागू  करें, 3.किसानो की सहमति के बिना चल रहे सर्वे को तत्काल रूप से बंद करने आदि  को लेकर माननीय मुख्यमंत्री महोदय को संबोधित ज्ञापन कलेक्टर इंदौर को दिया जाएगा l ज्ञापन में 200-250 की उपस्थिति संभावित है l जिसके अंतर्गत-  दिनांक 27.2.25 के प्रात: 8:00 बजे जिला खरगोन से भारतीय किसान संघ के संभागीय अध्‍यक्ष श्‍यामसिंग पंवार के नेतृत्‍व में 04-05 पदाधिकारी इंदौर रवाना हुए।",3,कृषक संगठन,2025-02-27T17:05:16.000,श्‍यामसिंग पंवार,भाकिस,2,5,सहायता राशि/मुआवज़ा,16,10,सहायता राशि/मुआवज़ा
Indore,972601,20,धरना,"दिनांक 27.02.25 को 11:00 कलेक्टर कार्यालय इंदौर में भारतीय किसान संघ के इंदौर जिला अध्यक्ष राजेंद्र पाटीदार के नेतृत्व में, किसानों की सहमति के बिना सरकार द्वारा भूमि अधिग्रहण किए जाने की प्रक्रिया का विरोध करता है l भारतीय किसान संघ विकास विरोधी नहीं है, परन्तु अंधाधुंध विकास जो किसान के संवैधानिक हक़ का हनन कर रहा है उसे न्यायोचित भी नहीं मानता है । पूरा मालवा प्रान्त भूमि अधिग्रहण निति के विरोध में । भारतीय किसान संघ द्वारा निम्नलिखित तीन सूत्रीय मांगों -\r\n\r\n01. सरकार कृषि भूमि की गाइडलाइन में पहले संशोधन करें ततपश्चात संशोधित गाइडलाइन का 4 गुना मुआवज़ा दे।\r\n\r\n02. नीतिगत स्तर पर केंद्रीय भूमि अधिग्रहण कानून 2014 को ज्यो का त्यों सामान रूप से पुरे प्रदेश में लागू  करें ।\r\n\r\n03. किसानो की सहमति के बिना चल रहे सर्वे को तत्काल बंद करने आदि- को लेकर धरना प्रारंभ किया गया l 16:20 बजे एडीएम रोशन राय, डीसीपी डॉ ऋषिकेश मीणा द्वारा आश्वासन दिया गया कि हम जॉइंट सर्वे रुकवा कर माननीय मुख्यमंत्री महोदय से आपकी मुलाक़ात का समय ले लेते हैं l जिला प्रशासन के इस आश्वासन पर किसान सहमत नहीं हुए तथा मांग की जा रही है कि भूमि अधिग्रहण राजपत्र निरस्त होने के बाद ही हम माननीय मुख्यमंत्री महोदय से मिलने जाएंगे l धरना कार्यक्रम में 200-250 की उपस्थिति है l मुख्य रूप से  संभाग अध्यक्ष कृष्णपाल सिंह राठौर ,जिला अध्यक्ष राजेंद्र पाटीदार संपर्क, प्रांतीय संगठन मंत्री सचिन जी माहेश, इंदौर जिला प्रचार प्रसार प्रमुख राहुल मालवीया, जिला मंत्री महेश राठौर, ए.डी.एम. रोशन राय , डी.सी.पी.डॉ.ऋषिकेस  एडीसीपी रामसनेही मिश्रा, ट्रैफिक ती श्रीमती राधा यादव, ट्रैफिक एसीपी श्रीमती सुप्रिया चौधरी आदि उपस्थित हैं l धरना 17:05 बजे जारी है l",3,कृषक संगठन,2025-02-27T17:34:16.000,राजेन्द्र पाटीदार,भाकिस,2,249250,सहायता राशि/मुआवज़ा,17,10,सहायता राशि/मुआवज़ा
Indore,972654,20,धरना,"दिनांक 27.02.25 को 11:00 कलेक्टर कार्यालय इंदौर में भारतीय किसान संघ के इंदौर जिला अध्यक्ष राजेंद्र पाटीदार के नेतृत्व में, किसानों की सहमति के बिना सरकार द्वारा भूमि अधिग्रहण किए जाने की प्रक्रिया का विरोध करता है। भारतीय किसान संघ विकास विरोधी नहीं है, परन्तु अंधाधुंध विकास जो किसान के संविधानिक हक़ का हनन कर रहा है उसे न्यायोचित भी नहीं मानता है। पूरा मालवा प्रान्त भूमि अधिग्रहण निति के विरोध में भारतीय किसान संघ द्वारा निम्नलिखित तीन सूत्रीय मांगों -1. सरकार कृषि भूमि की गाइडलाइन में पहले संशोधन करें बाद संशोधित गाइडलाइन का 4 गुना मुआवज़ा दे, 2. नीतिगत स्तर पर केंद्रीय भूमि अधिग्रहण कानून 2014 को ज्यो का त्यों सामान रूप से पुरे प्रदेश में लागू  करें,  3. किसानो की सहमति के बिना चल रहे सर्वे को तत्काल रूप से बंद करने आदि  को लेकर धरना दिया गया। शाम 21.30 बजे एडीएम रोशन राय द्वारा कलेक्‍टर इंदौर श्री आशीष सिंह से चर्चा पश्‍चात किसानों को आश्‍वासन दिया गया कि 7-8 दिन के अंदर भारतीय किसान संघ के प्रतिनिधि मण्‍डल की मुलाकात मान. मुख्‍यमंत्री महोदय से करवाई जावेगी। आपकी समस्‍या का समाधान मान. मुख्‍यमंत्री महोदय के स्‍तर पर ही किया जाना संभव है। इस प्रकार के लिखित आश्‍वासन पर भारतीय किसान संघ द्वारा धरना समाप्‍त किया गया। उपस्थिति 200-250 की रही।",3,कृषक संगठन,2025-02-28T14:02:54.000,राजेन्द्र पाटीदार,भाकिस,2,250,सहायता राशि/मुआवज़ा,17,10,सहायता राशि/मुआवज़ा
Tikamgarh,972864,40,ज्ञापन,"दिनांक 27-02-25 को भारतीय किसान संघ के द्वारा थाना जतारा अंतर्गत गल्‍लामंडी जतारा में तहसील जतारा, पलेरा, लिधौरा, मोहनगढ़ एवं दिगौडा के किसानों का कार्यकर्ता सम्‍मेलन जिलाध्‍यक्ष भारतीय किसान संघ शिवमोहन गिरि के नेतृत्‍व में समय 12-00 बजे से 15-00 बजे तक आयोजित किया गया। सम्‍मेलन पश्‍चात किसानों की समस्याओं जैसे-राजस्व महाभियान के दौरान नामांकन, खसरा से आधार लिंक का कार्य ना होना, सुजारा बांध की नहर से ग्राम पहाड़ीताल, तानगा, चरी, रामनगर, लिधौरा, गुड़ा ,पाली में सिंचाई हेतु पानी न मिलने, कृषि विभाग की योजनाओं का लाभ न मिलने आदि 05 सूत्रीय मांगों को लेकर एसडीएम जतारा को लगभग 200 की उपस्थिति में ज्ञापन सौंपा गया।",3,कृषक संगठन,2025-02-28T17:26:37.000,शिवमोहन गिरि,भाकिस,2,200,नहरों का पानी/सिचाई समस्या,12,7,नहरों का पानी/सिचाई समस्या
Gwalior,967147,16,अन्य,"दिनांक 05/02/25 को भारतीय किसान संघ मध्य भारत प्रांत के प्रादेशिक आव्हान पर किसानों की विविध समस्याओं जैसे खाद-बीज की कालाबाजारी, नकली खाद एवं दवाइयों पर रोक, राजस्व प्रकरणों का समय पर संतुष्टिपूर्ण निराकरण न होना, पर्याप्त सिंचाई बिजली न मिलने आदि समस्याओं को लेकर भोपाल में बल्लभ भवन का घेराव करने हेतु ग्वालियर जिले से प्रांत उपाध्यक्ष भूपेंद्र चौधरी व जिलाध्यक्ष रामाधार यादव के नेतृत्व में लगभग 150 की सँख्या में भारतीय किसान संघ के कार्यकर्ता ट्रेन द्वाराब दिनाक 04/02/25 को रात्रि में भोपाल रवाना हुए।",3,कृषक संगठन,2025-02-05T17:40:14.000,भूपेंद्र चौधरी,भाकिस,2,150,खाद की कमी: यूरिया(Urea) डीएपी(DAP)/काला बाजारी,14,5,खाद की कमी: यूरिया(Urea) डीएपी(DAP)/काला बाजारी
Gwalior,967147,16,अन्य,"दिनांक 05/02/25 को भारतीय किसान संघ मध्य भारत प्रांत के प्रादेशिक आव्हान पर किसानों की विविध समस्याओं जैसे खाद-बीज की कालाबाजारी, नकली खाद एवं दवाइयों पर रोक, राजस्व प्रकरणों का समय पर संतुष्टिपूर्ण निराकरण न होना, पर्याप्त सिंचाई बिजली न मिलने आदि समस्याओं को लेकर भोपाल में बल्लभ भवन का घेराव करने हेतु ग्वालियर जिले से प्रांत उपाध्यक्ष भूपेंद्र चौधरी व जिलाध्यक्ष रामाधार यादव के नेतृत्व में लगभग 150 की सँख्या में भारतीय किसान संघ के कार्यकर्ता ट्रेन द्वाराब दिनाक 04/02/25 को रात्रि में भोपाल रवाना हुए।",3,कृषक संगठन,2025-02-05T17:40:14.000,भूपेंद्र चौधरी,भाकिस,2,150,नहरों का पानी/सिचाई समस्या,14,7,नहरों का पानी/सिचाई समस्या
